Parcel,1st Period Volume
1,562
2,792
3,658
4,452
5,312
6,495
7,1057
8,940
9,1064
10,592
11,780
12,796
13,1008
14,654
15,988
16,857
17,799
18,1024
19,657
20,814
21,598
22,1197
23,365
24,1016
25,629
26,1081
27,641
28,574
29,870
30,1030
31,678
32,1111
33,513
34,557
35,956
36,922
37,1174
38,647
39,1172
40,1045
41,559
42,246
43,988
44,417
45,646
46,618
47,1139
48,933
49,815
50,925
51,284
52,535
53,812
54,995
55,588
56,680
57,223
58,983
59,665
60,1178
61,205
62,517
63,489
64,704
65,668
66,1132
67,903
68,399
69,391
70,616
71,641
72,840
73,1094
74,1139
75,994
76,305
77,943
78,241
79,952
80,807
81,1037
82,1129
83,685
84,878
85,217
86,282
87,1151
88,1036
89,775
90,1186
91,449
92,552
93,557
94,512
95,778
96,395
97,1188
98,428
99,546
100,1183
101,833
102,257
103,674
104,350
105,336
106,379
107,1179
108,552
109,542
110,715
111,645
112,612
113,397
114,731
115,578
116,1189
117,373
118,510
119,317
120,985
121,580
122,865
123,543
124,889
125,1059
126,1129
127,910
128,398
129,315
130,631
131,969
132,616
133,1104
134,624
135,910
136,719
137,968
138,1161
139,825
140,1040
141,494
142,982
143,481
144,818
145,1114
146,1128
147,371
148,790
149,574
150,321
151,674
152,854
153,490
154,521
155,1078
156,418
157,900
158,539
159,1101
160,880
161,633
162,428
163,639
164,703
165,341
166,1022
167,968
168,612
169,526
170,733
171,973
172,504
173,829
174,760
175,314
176,219
177,738
178,1080
179,381
180,568
181,1103
182,448
183,238
184,576
185,989
186,500
187,252
188,655
189,688
190,791
191,415
192,1103
193,988
194,1121
195,1166
196,712
197,808
198,592
199,259
200,461
201,406
202,488
203,1075
204,206
205,938
206,558
207,387
208,717
209,386
210,813
211,202
212,251
213,783
214,653
215,1181
216,219
217,445
218,712
219,958
220,375
221,1017
222,376
223,643
224,1015
225,1113
226,861
227,507
228,371
229,956
230,898
231,582
232,890
233,724
234,1047
235,734
236,893
237,820
238,319
239,431
240,615
241,443
242,762
243,300
244,443
245,575
246,593
247,572
248,1001
249,938
250,479
251,930
252,1119
253,1049
254,383
255,915
256,965
257,583
258,394
259,971
260,993
261,540
262,661
263,208
264,316
265,270
266,309
267,847
268,592
269,395
270,227
271,1001
272,385
273,885
274,323
275,865
276,857
277,716
278,393
279,682
280,314
281,213
282,312
283,971
284,205
285,549
286,527
287,663
288,1083
289,884
290,227
291,472
292,1012
293,256
294,1101
295,475
296,363
297,397
298,842
299,253
300,646
301,292
302,461
303,486
304,951
305,764
306,945
307,756
308,459
309,202
310,235
311,830
312,641
313,964
314,270
315,1176
316,987
317,568
318,559
319,204
320,775
321,1045
322,726
323,930
324,226
325,345
326,1073
